checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,years_at_residence,age,other_credit,existing_loans_count,default
unknown,36,critical,business,6304,unknown,> 7 years,4,36,none,2,no
1 - 200 DM,12,good,furniture/appliances,1534,< 100 DM,< 1 year,1,23,none,1,yes
unknown,10,good,education,727,500 - 1000 DM,> 7 years,4,46,none,1,no
1 - 200 DM,13,good,furniture/appliances,2101,< 100 DM,< 1 year,4,23,none,1,no
1 - 200 DM,27,good,business,3915,< 100 DM,1 - 4 years,2,36,none,1,yes
1 - 200 DM,24,good,car,2760,unknown,> 7 years,4,36,bank,1,no
unknown,12,good,car,1386,500 - 1000 DM,1 - 4 years,2,26,none,1,yes
< 0 DM,24,critical,car,1199,< 100 DM,> 7 years,4,60,none,2,yes
1 - 200 DM,45,critical,furniture/appliances,4746,< 100 DM,< 1 year,2,25,none,2,yes
< 0 DM,48,critical,car,6143,< 100 DM,> 7 years,4,58,store,2,yes
unknown,10,good,car,1364,< 100 DM,1 - 4 years,4,64,none,1,no
unknown,30,critical,furniture/appliances,5954,< 100 DM,4 - 7 years,2,38,none,1,no
1 - 200 DM,18,good,car,6260,< 100 DM,4 - 7 years,3,28,none,1,no
unknown,48,good,business,3914,unknown,1 - 4 years,2,38,bank,1,yes
< 0 DM,48,perfect,car,4605,< 100 DM,> 7 years,4,24,none,2,yes
unknown,36,good,furniture/appliances,3595,< 100 DM,> 7 years,2,28,none,1,no
unknown,4,critical,furniture/appliances,1544,< 100 DM,4 - 7 years,1,42,none,3,no
< 0 DM,24,good,furniture/appliances,2996,unknown,1 - 4 years,4,20,none,1,yes
unknown,12,critical,education,3565,unknown,< 1 year,1,37,none,2,no
unknown,28,critical,furniture/appliances,2743,< 100 DM,> 7 years,2,29,none,2,no
1 - 200 DM,30,critical,car,5234,< 100 DM,unemployed,2,28,none,2,yes
> 200 DM,10,good,car,3949,< 100 DM,< 1 year,1,37,none,1,no
unknown,12,critical,car,682,100 - 500 DM,4 - 7 years,3,51,none,2,no
unknown,21,good,furniture/appliances,3160,unknown,> 7 years,3,41,none,1,no
unknown,24,poor,business,2375,500 - 1000 DM,1 - 4 years,2,44,none,2,no
unknown,18,critical,car,1055,< 100 DM,< 1 year,1,30,none,2,no
1 - 200 DM,27,poor,car,5965,< 100 DM,> 7 years,2,30,none,2,no
unknown,24,good,furniture/appliances,2835,500 - 1000 DM,> 7 years,4,53,none,1,no
< 0 DM,24,good,car,1207,< 100 DM,< 1 year,4,24,none,1,yes
unknown,15,critical,furniture/appliances,2788,< 100 DM,4 - 7 years,3,24,bank,2,no
unknown,12,critical,furniture/appliances,1934,< 100 DM,> 7 years,2,26,none,2,no
unknown,12,critical,education,2096,< 100 DM,4 - 7 years,3,49,none,1,no
unknown,24,critical,furniture/appliances,2578,> 1000 DM,> 7 years,2,34,none,1,no
< 0 DM,12,good,furniture/appliances,701,< 100 DM,1 - 4 years,2,40,none,1,no
1 - 200 DM,12,good,car,6078,< 100 DM,4 - 7 years,2,32,none,1,no
unknown,6,good,furniture/appliances,1338,500 - 1000 DM,1 - 4 years,4,62,none,1,no
1 - 200 DM,24,perfect,business,4241,< 100 DM,1 - 4 years,4,36,none,3,yes
unknown,6,good,furniture/appliances,1543,> 1000 DM,1 - 4 years,2,33,none,1,no
unknown,6,good,furniture/appliances,2978,500 - 1000 DM,1 - 4 years,2,32,none,1,no
unknown,36,good,car,3079,unknown,1 - 4 years,4,36,none,1,no
unknown,24,good,furniture/appliances,929,unknown,4 - 7 years,2,31,store,1,no
< 0 DM,18,good,furniture/appliances,2659,> 1000 DM,1 - 4 years,2,28,none,1,no
1 - 200 DM,18,critical,furniture/appliances,1245,< 100 DM,1 - 4 years,2,33,none,1,yes
< 0 DM,6,critical,furniture/appliances,1169,unknown,> 7 years,4,67,none,2,no
< 0 DM,24,good,car,1285,unknown,4 - 7 years,4,32,none,1,yes
1 - 200 DM,11,critical,car,1322,> 1000 DM,1 - 4 years,4,40,none,2,no
< 0 DM,9,good,car,1422,< 100 DM,< 1 year,2,27,none,1,yes
< 0 DM,21,good,furniture/appliances,3357,> 1000 DM,< 1 year,2,29,bank,1,no
1 - 200 DM,24,critical,car,3878,100 - 500 DM,< 1 year,2,37,none,1,no
1 - 200 DM,60,poor,furniture/appliances,9157,unknown,1 - 4 years,2,27,none,1,no
unknown,6,critical,furniture/appliances,700,unknown,> 7 years,4,36,none,2,no
< 0 DM,24,good,furniture/appliances,1987,< 100 DM,1 - 4 years,4,21,none,1,yes
unknown,12,critical,furniture/appliances,976,unknown,> 7 years,4,35,none,2,no
unknown,24,good,car,2603,> 1000 DM,1 - 4 years,4,28,none,1,no
unknown,36,poor,business,9572,< 100 DM,< 1 year,1,28,none,2,yes
1 - 200 DM,12,good,business,1037,100 - 500 DM,4 - 7 years,4,39,none,1,no
unknown,12,critical,furniture/appliances,1402,500 - 1000 DM,4 - 7 years,4,37,none,1,no
1 - 200 DM,12,good,business,841,100 - 500 DM,4 - 7 years,4,23,none,1,no
